
Connected to: Oracle Database 11g Enterprise Edition Release 11.1.0.6.0 - 64bit Production
With the Partitioning, OLAP, Data Mining and Real Application Testing options

Export file created by EXPORT:V10.02.01 via conventional path

Warning: the objects were exported by ADV9_TRAIN, not by you

import done in WE8MSWIN1252 character set and AL16UTF16 NCHAR character set
. . importing table       "ACKNOWLEDGEMENT_DETAIL"         36 rows imported
. . importing table       "ACKNOWLEDGEMENT_HEADER"          3 rows imported
. . importing table                     "ACTIVITY"        105 rows imported
. . importing table                      "ADDRESS"        555 rows imported
. . importing table                  "ADDRESS_GEO"         84 rows imported
. . importing table                "ADDRESS_LABEL"        555 rows imported
. . importing table         "ADMISSIONS_VOLUNTEER"          7 rows imported
. . importing table                 "ADM_PASSWORD"          1 rows imported
. . importing table           "ADV_BATCH_APP_TYPE"          9 rows imported
. . importing table             "ADV_BATCH_TABLES"         46 rows imported
. . importing table         "ADV_LOAD_PLEDGE_BASE"         39 rows imported
. . importing table       "ADV_LOAD_PLEDGE_REMOVE"          0 rows imported
. . importing table          "ADV_LOAD_PLG_ALLOCS"         57 rows imported
. . importing table             "ADV_LOAD_PLG_SCH"         47 rows imported
. . importing table           "ADV_LOG_EXCEPTIONS"          0 rows imported
. . importing table                 "ADV_USER_LOG"          0 rows imported
. . importing table                  "ADV_WEB_LOG"          0 rows imported
. . importing table                  "AFFILIATION"        117 rows imported
. . importing table                   "ALLOCATION"         42 rows imported
. . importing table       "ALLOCATION_BENEFICIARY"          7 rows imported
. . importing table         "ALLOCATION_FINANCIAL"          7 rows imported
. . importing table   "ALLOCATION_LOAD_AUDIT_IFAS"          0 rows imported
. . importing table         "ALLOCATION_STEWARDEE"          7 rows imported
. . importing table                      "APPEALS"         78 rows imported
. . importing table                "APPEAL_GIFT_1"          0 rows imported
. . importing table                "APPEAL_HEADER"         10 rows imported
. . importing table              "APPEAL_PLEDGE_1"          0 rows imported
. . importing table                   "ASSIGNMENT"         93 rows imported
. . importing table               "ATH_ALLOC_INFO"          0 rows imported
. . importing table             "ATH_PARKING_INFO"          0 rows imported
. . importing table             "ATH_POINT_DETAIL"          0 rows imported
. . importing table            "ATH_POINT_SUMMARY"          0 rows imported
